"department","course_code","title","level","year","semester"
"Centre for the Creative Arts and Media","AARPG74","BA in Art & Design Flexible Mode","","4",""
"Centre for the Creative Arts and Media","AARPG75","BA in Art & Design Flexible Mode","","5",""
"Centre for the Creative Arts and Media","AARPG76","BA in Art & Design Flexible Mode","","6",""
"Centre for the Creative Arts and Media","AARTG73","BA in Art & Design Ceramics","7","3",""
"Centre for the Creative Arts and Media","AARTG73","BA in Art & Design Painting","7","3",""
"Centre for the Creative Arts and Media","AARTG73","BA in Art & Design Printmaking","7","3",""
"Centre for the Creative Arts and Media","AARTG73","BA in Art & Design Sculpture","7","3",""
"Centre for the Creative Arts and Media","AARTG73","BA in Art & Design Textiles","7","3",""
"Centre for the Creative Arts and Media","ACONG71","Gr A BA in Contemporary Art","7","1","1"
"Centre for the Creative Arts and Media","ACONG71","Gr B BA in Contemporary Art","7","1","1"
"Centre for the Creative Arts and Media","ACONG71","Gr C BA in Contemporary Art","7","1","1"
"Centre for the Creative Arts and Media","ACONG71","Gr C BA in Contemporary Art","7","1","2"
"Centre for the Creative Arts and Media","ACONG72","BA in Contemporary Art  Gr B","7","2","3"
"Centre for the Creative Arts and Media","ACONG72","BA in Contemporary Art Gr A","7","2","3"
"Centre for the Creative Arts and Media","ACONG72","BA in Contemporary Art","7","2","4"
"Centre for the Creative Arts and Media","ACONG72","BA in Contemporary Art","7","2","4"
"Centre for the Creative Arts and Media","ACONG72","BA in Contemporary Art","7","2","4"
"Centre for the Creative Arts and Media","ACONG82","BA (Honours) in Contemporary Art","8","2","4"
"Centre for the Creative Arts and Media","ACONGG71","Gr A BA in Contemporary Art","7","1","2"
"Centre for the Creative Arts and Media","ACONGG71","Gr B BA in Contemporary Art","7","1","2"
"Centre for the Creative Arts and Media","ACREG95","MA-CP-1","","",""
"Centre for the Creative Arts and Media","ACREG95","MA-CP-2","","",""
"Centre for the Creative Arts and Media","ACREG95","MA-CP-3","","",""
"Centre for the Creative Arts and Media","ACREG95","MA-CP-4","","",""
"Centre for the Creative Arts and Media","AFING84","BA in Fine Art Ceramics","8","4",""
"Centre for the Creative Arts and Media","AFING84","BA in Fine Art Painting","8","4",""
"Centre for the Creative Arts and Media","AFING84","BA in Fine Art Printmaking","8","4",""
"Centre for the Creative Arts and Media","AFING84","BA in Fine Art Sculpture","8","4",""
"Centre for the Creative Arts and Media","DDESG71","Gr D BA in Contemporary Art","7","1","1"
"Centre for the Creative Arts and Media","DDESG71","Gr D BA in Contemporary Art","7","1","2"
"Centre for the Creative Arts and Media","DDESG71","Gr E BA in Contemporary Art","7","1","1"
"Centre for the Creative Arts and Media","DDESG71","Gr E BA in Contemporary Art","7","1","2"
"Centre for the Creative Arts and Media","DDESG71","Gr F BA in Contemporary Art","7","1","1"
"Centre for the Creative Arts and Media","DDESG71","Gr F BA in Contemporary Art","7","1","2"
"Centre for the Creative Arts and Media","DDESG72","BA in Contemporary Art","7","2","4"
"Centre for the Creative Arts and Media","DDESG72","Gr C BA in Contemporary Art","7","2","3"
"Centre for the Creative Arts and Media","DDESG72","Gr D BA in Contemporary Art","7","2","3"
"Centre for the Creative Arts and Media","DTEXT84","BA in Honours in Design in Textiles","8","4",""
"Centre for the Creative Arts and Media","HFILG81","BA (Honours) in Film & Documentary","8","1","1"
"Centre for the Creative Arts and Media","HFILG81A","BA (Honours) in Film & Documentary","8","1","2"
"Centre for the Creative Arts and Media","HFILG81B","BA (Honours) in Film & Documentary","8","1","2"
"Centre for the Creative Arts and Media","HFILG81C","BA (Honours) in Film & Documentary","8","1","2"
"Centre for the Creative Arts and Media","HFILG82","BA (Honours) in Film & Documentary","8","2","3"
"Centre for the Creative Arts and Media","HFILG82","Gr A BA (Honours) in Film & Documentary","8","2","4"
"Centre for the Creative Arts and Media","HFILG82","Gr B BA (Honours) in Film & Documentary","8","2","4"
"Centre for the Creative Arts and Media","HFILG82","Gr C BA (Honours) in Film & Documentary","8","2","4"
"Centre for the Creative Arts and Media","HFILG83","BA (Honours) in Film & Documentary","8","3","5"
"Centre for the Creative Arts and Media","HFITG83","Gr A BA in Film & TV","8","3","6"
"Centre for the Creative Arts and Media","HFITG83","Gr B BA in Film & TV","8","3","6"
"Centre for the Creative Arts and Media","HFITG83","Gr C BA in Film & TV","8","3","6"
"Centre for the Creative Arts and Media","HFITG83","Gr D BA in Film & TV","8","3",""
"Dept of Building and Civil Engineering","AARPG74","BA in Art & Design Flexible Mode","","4",""
"Dept of Building and Civil Engineering","AARPG75","BA in Art & Design Flexible Mode","","5",""
"Dept of Building and Civil Engineering","AARPG76","BA in Art & Design Flexible Mode","","6",""
"Dept of Building and Civil Engineering","AARTG73","BA in Art & Design Ceramics","7","3",""
"Dept of Building and Civil Engineering","AARTG73","BA in Art & Design Painting","7","3",""
"Dept of Building and Civil Engineering","AARTG73","BA in Art & Design Printmaking","7","3",""
"Dept of Building and Civil Engineering","AARTG73","BA in Art & Design Sculpture","7","3",""
"Dept of Building and Civil Engineering","AARTG73","BA in Art & Design Textiles","7","3",""
"Dept of Building and Civil Engineering","ACONG71","Gr A BA in Contemporary Art","7","1","1"
"Dept of Building and Civil Engineering","ACONG71","Gr B BA in Contemporary Art","7","1","1"
"Dept of Building and Civil Engineering","ACONG71","Gr C BA in Contemporary Art","7","1","1"
"Dept of Building and Civil Engineering","ACONG71","Gr C BA in Contemporary Art","7","1","2"
"Dept of Building and Civil Engineering","ACONG72","BA in Contemporary Art  Gr B","7","2","3"
"Dept of Building and Civil Engineering","ACONG72","BA in Contemporary Art Gr A","7","2","3"
"Dept of Building and Civil Engineering","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Building and Civil Engineering","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Building and Civil Engineering","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Building and Civil Engineering","ACONG82","BA (Honours) in Contemporary Art","8","2","4"
"Dept of Building and Civil Engineering","ACONGG71","Gr A BA in Contemporary Art","7","1","2"
"Dept of Building and Civil Engineering","ACONGG71","Gr B BA in Contemporary Art","7","1","2"
"Dept of Building and Civil Engineering","ACREG95","MA-CP-1","","",""
"Dept of Building and Civil Engineering","ACREG95","MA-CP-2","","",""
"Dept of Building and Civil Engineering","ACREG95","MA-CP-3","","",""
"Dept of Building and Civil Engineering","ACREG95","MA-CP-4","","",""
"Dept of Building and Civil Engineering","AFING84","BA in Fine Art Ceramics","8","4",""
"Dept of Building and Civil Engineering","AFING84","BA in Fine Art Painting","8","4",""
"Dept of Building and Civil Engineering","AFING84","BA in Fine Art Printmaking","8","4",""
"Dept of Building and Civil Engineering","AFING84","BA in Fine Art Sculpture","8","4",""
"Dept of Building and Civil Engineering","DDESG71","Gr D BA in Contemporary Art","7","1","1"
"Dept of Building and Civil Engineering","DDESG71","Gr D BA in Contemporary Art","7","1","2"
"Dept of Building and Civil Engineering","DDESG71","Gr E BA in Contemporary Art","7","1","1"
"Dept of Building and Civil Engineering","DDESG71","Gr E BA in Contemporary Art","7","1","2"
"Dept of Building and Civil Engineering","DDESG71","Gr F BA in Contemporary Art","7","1","1"
"Dept of Building and Civil Engineering","DDESG71","Gr F BA in Contemporary Art","7","1","2"
"Dept of Building and Civil Engineering","DDESG72","BA in Contemporary Art","7","2","4"
"Dept of Building and Civil Engineering","DDESG72","Gr C BA in Contemporary Art","7","2","3"
"Dept of Building and Civil Engineering","DDESG72","Gr D BA in Contemporary Art","7","2","3"
"Dept of Building and Civil Engineering","DTEXT84","BA in Honours in Design in Textiles","8","4",""
"Dept of Building and Civil Engineering","HFILG81","BA (Honours) in Film & Documentary","8","1","1"
"Dept of Building and Civil Engineering","HFILG81A","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Building and Civil Engineering","HFILG81B","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Building and Civil Engineering","HFILG81C","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Building and Civil Engineering","HFILG82","BA (Honours) in Film & Documentary","8","2","3"
"Dept of Building and Civil Engineering","HFILG82","Gr A BA (Honours) in Film & Documentary","8","2","4"
"Dept of Building and Civil Engineering","HFILG82","Gr B BA (Honours) in Film & Documentary","8","2","4"
"Dept of Building and Civil Engineering","HFILG82","Gr C BA (Honours) in Film & Documentary","8","2","4"
"Dept of Building and Civil Engineering","HFILG83","BA (Honours) in Film & Documentary","8","3","5"
"Dept of Building and Civil Engineering","HFITG83","Gr A BA in Film & TV","8","3","6"
"Dept of Building and Civil Engineering","HFITG83","Gr B BA in Film & TV","8","3","6"
"Dept of Building and Civil Engineering","HFITG83","Gr C BA in Film & TV","8","3","6"
"Dept of Building and Civil Engineering","HFITG83","Gr D BA in Film & TV","8","3",""
"Dept of Computer Science & Applied Physics","AARPG74","BA in Art & Design Flexible Mode","","4",""
"Dept of Computer Science & Applied Physics","AARPG75","BA in Art & Design Flexible Mode","","5",""
"Dept of Computer Science & Applied Physics","AARPG76","BA in Art & Design Flexible Mode","","6",""
"Dept of Computer Science & Applied Physics","AARTG73","BA in Art & Design Ceramics","7","3",""
"Dept of Computer Science & Applied Physics","AARTG73","BA in Art & Design Painting","7","3",""
"Dept of Computer Science & Applied Physics","AARTG73","BA in Art & Design Printmaking","7","3",""
"Dept of Computer Science & Applied Physics","AARTG73","BA in Art & Design Sculpture","7","3",""
"Dept of Computer Science & Applied Physics","AARTG73","BA in Art & Design Textiles","7","3",""
"Dept of Computer Science & Applied Physics","ACONG71","Gr A BA in Contemporary Art","7","1","1"
"Dept of Computer Science & Applied Physics","ACONG71","Gr B BA in Contemporary Art","7","1","1"
"Dept of Computer Science & Applied Physics","ACONG71","Gr C BA in Contemporary Art","7","1","1"
"Dept of Computer Science & Applied Physics","ACONG71","Gr C BA in Contemporary Art","7","1","2"
"Dept of Computer Science & Applied Physics","ACONG72","BA in Contemporary Art  Gr B","7","2","3"
"Dept of Computer Science & Applied Physics","ACONG72","BA in Contemporary Art Gr A","7","2","3"
"Dept of Computer Science & Applied Physics","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Computer Science & Applied Physics","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Computer Science & Applied Physics","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Computer Science & Applied Physics","ACONG82","BA (Honours) in Contemporary Art","8","2","4"
"Dept of Computer Science & Applied Physics","ACONGG71","Gr A BA in Contemporary Art","7","1","2"
"Dept of Computer Science & Applied Physics","ACONGG71","Gr B BA in Contemporary Art","7","1","2"
"Dept of Computer Science & Applied Physics","ACREG95","MA-CP-1","","",""
"Dept of Computer Science & Applied Physics","ACREG95","MA-CP-2","","",""
"Dept of Computer Science & Applied Physics","ACREG95","MA-CP-3","","",""
"Dept of Computer Science & Applied Physics","ACREG95","MA-CP-4","","",""
"Dept of Computer Science & Applied Physics","AFING84","BA in Fine Art Ceramics","8","4",""
"Dept of Computer Science & Applied Physics","AFING84","BA in Fine Art Painting","8","4",""
"Dept of Computer Science & Applied Physics","AFING84","BA in Fine Art Printmaking","8","4",""
"Dept of Computer Science & Applied Physics","AFING84","BA in Fine Art Sculpture","8","4",""
"Dept of Computer Science & Applied Physics","DDESG71","Gr D BA in Contemporary Art","7","1","1"
"Dept of Computer Science & Applied Physics","DDESG71","Gr D BA in Contemporary Art","7","1","2"
"Dept of Computer Science & Applied Physics","DDESG71","Gr E BA in Contemporary Art","7","1","1"
"Dept of Computer Science & Applied Physics","DDESG71","Gr E BA in Contemporary Art","7","1","2"
"Dept of Computer Science & Applied Physics","DDESG71","Gr F BA in Contemporary Art","7","1","1"
"Dept of Computer Science & Applied Physics","DDESG71","Gr F BA in Contemporary Art","7","1","2"
"Dept of Computer Science & Applied Physics","DDESG72","BA in Contemporary Art","7","2","4"
"Dept of Computer Science & Applied Physics","DDESG72","Gr C BA in Contemporary Art","7","2","3"
"Dept of Computer Science & Applied Physics","DDESG72","Gr D BA in Contemporary Art","7","2","3"
"Dept of Computer Science & Applied Physics","DTEXT84","BA in Honours in Design in Textiles","8","4",""
"Dept of Computer Science & Applied Physics","HFILG81","BA (Honours) in Film & Documentary","8","1","1"
"Dept of Computer Science & Applied Physics","HFILG81A","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Computer Science & Applied Physics","HFILG81B","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Computer Science & Applied Physics","HFILG81C","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Computer Science & Applied Physics","HFILG82","BA (Honours) in Film & Documentary","8","2","3"
"Dept of Computer Science & Applied Physics","HFILG82","Gr A BA (Honours) in Film & Documentary","8","2","4"
"Dept of Computer Science & Applied Physics","HFILG82","Gr B BA (Honours) in Film & Documentary","8","2","4"
"Dept of Computer Science & Applied Physics","HFILG82","Gr C BA (Honours) in Film & Documentary","8","2","4"
"Dept of Computer Science & Applied Physics","HFILG83","BA (Honours) in Film & Documentary","8","3","5"
"Dept of Computer Science & Applied Physics","HFITG83","Gr A BA in Film & TV","8","3","6"
"Dept of Computer Science & Applied Physics","HFITG83","Gr B BA in Film & TV","8","3","6"
"Dept of Computer Science & Applied Physics","HFITG83","Gr C BA in Film & TV","8","3","6"
"Dept of Computer Science & Applied Physics","HFITG83","Gr D BA in Film & TV","8","3",""
"Dept of Culinary Arts","AARPG74","BA in Art & Design Flexible Mode","","4",""
"Dept of Culinary Arts","AARPG75","BA in Art & Design Flexible Mode","","5",""
"Dept of Culinary Arts","AARPG76","BA in Art & Design Flexible Mode","","6",""
"Dept of Culinary Arts","AARTG73","BA in Art & Design Ceramics","7","3",""
"Dept of Culinary Arts","AARTG73","BA in Art & Design Painting","7","3",""
"Dept of Culinary Arts","AARTG73","BA in Art & Design Printmaking","7","3",""
"Dept of Culinary Arts","AARTG73","BA in Art & Design Sculpture","7","3",""
"Dept of Culinary Arts","AARTG73","BA in Art & Design Textiles","7","3",""
"Dept of Culinary Arts","ACONG71","Gr A BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","ACONG71","Gr B BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","ACONG71","Gr C BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","ACONG71","Gr C BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","ACONG72","BA in Contemporary Art  Gr B","7","2","3"
"Dept of Culinary Arts","ACONG72","BA in Contemporary Art Gr A","7","2","3"
"Dept of Culinary Arts","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Culinary Arts","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Culinary Arts","ACONG72","BA in Contemporary Art","7","2","4"
"Dept of Culinary Arts","ACONG82","BA (Honours) in Contemporary Art","8","2","4"
"Dept of Culinary Arts","ACONGG71","Gr A BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","ACONGG71","Gr B BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","ACREG95","MA-CP-1","","",""
"Dept of Culinary Arts","ACREG95","MA-CP-2","","",""
"Dept of Culinary Arts","ACREG95","MA-CP-3","","",""
"Dept of Culinary Arts","ACREG95","MA-CP-4","","",""
"Dept of Culinary Arts","AFING84","BA in Fine Art Ceramics","8","4",""
"Dept of Culinary Arts","AFING84","BA in Fine Art Painting","8","4",""
"Dept of Culinary Arts","AFING84","BA in Fine Art Printmaking","8","4",""
"Dept of Culinary Arts","AFING84","BA in Fine Art Sculpture","8","4",""
"Dept of Culinary Arts","DDESG71","Gr D BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","DDESG71","Gr D BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","DDESG71","Gr E BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","DDESG71","Gr E BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","DDESG71","Gr F BA in Contemporary Art","7","1","1"
"Dept of Culinary Arts","DDESG71","Gr F BA in Contemporary Art","7","1","2"
"Dept of Culinary Arts","DDESG72","BA in Contemporary Art","7","2","4"
"Dept of Culinary Arts","DDESG72","Gr C BA in Contemporary Art","7","2","3"
"Dept of Culinary Arts","DDESG72","Gr D BA in Contemporary Art","7","2","3"
"Dept of Culinary Arts","DTEXT84","BA in Honours in Design in Textiles","8","4",""
"Dept of Culinary Arts","HFILG81","BA (Honours) in Film & Documentary","8","1","1"
"Dept of Culinary Arts","HFILG81A","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Culinary Arts","HFILG81B","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Culinary Arts","HFILG81C","BA (Honours) in Film & Documentary","8","1","2"
"Dept of Culinary Arts","HFILG82","BA (Honours) in Film & Documentary","8","2","3"
"Dept of Culinary Arts","HFILG82","Gr A BA (Honours) in Film & Documentary","8","2","4"
"Dept of Culinary Arts","HFILG82","Gr B BA (Honours) in Film & Documentary","8","2","4"
"Dept of Culinary Arts","HFILG82","Gr C BA (Honours) in Film & Documentary","8","2","4"
"Dept of Culinary Arts","HFILG83","BA (Honours) in Film & Documentary","8","3","5"
"Dept of Culinary Arts","HFITG83","Gr A BA in Film & TV","8","3","6"
"Dept of Culinary Arts","HFITG83","Gr B BA in Film & TV","8","3","6"
"Dept of Culinary Arts","HFITG83","Gr C BA in Film & TV","8","3","6"
"Dept of Culinary Arts","HFITG83","Gr D BA in Film & TV","8","3",""
"Dept of Electronic and Electrical Engineering","AARPG74","BA in Art & Design Flexible Mode","","4",""
"Dept of Electronic and Electrical Engineering","AARPG75","BA in Art & Design Flexible Mode","","5",""
"Dept of Electronic and Electrical Engineering","AARPG76","BA in Art & Design Flexible Mode","","6",""
"Dept of Electronic and Electrical Engineering","AARTG73","BA in Art & Design Ceramics","7","3",""
"Dept of Electronic and Electrical Engineering","AARTG73","BA in Art & Design Painting","7","3",""
"Dept of Electronic and Electrical Engineering","AARTG73","BA in Art & Design Printmaking","7","3",""
"Dept of Electronic and Electrical Engineering","AARTG73","BA in Art & Design Sculpture","7","3",""
"Dept of Electronic and Electrical Engineering","AARTG73","BA in Art & Design Textiles","7","3",""
"Dept of Electronic and Electrical Engineering","ACONG71","Gr A BA in Contemporary Art","7","1","1"
"Dept of Electronic and Electrical Engineering","ACONG71","Gr B BA in Contemporary Art","7","1","1"
"Dept of Electronic and Electrical Engineering","ACONG71","Gr C BA in Contemporary Art","7","1","1"
"Dept of Electronic and Electrical Engineering","ACONG71","Gr C BA in Contemporary Art","7","1","2"
"Dept of Electronic and Electrical Engineering","ACONG72","BA in Contemporary Art  Gr B","7","2","3"
